Current Procedural Terminology (CPT®) codes, descriptions, and other data are
copyright 1966, 1970, 1973, 1977, 1981, 1983-2024 by the American
Medical Association. All rights reserved.

CPT® is a registered trademark of the American Medical Association.

U.S. GOVERNMENT RIGHTS. CPT is commercial technical data
developed exclusively at the private expense by the American
Medical Association, 330 N. Wabash Ave., Suite 39300,
Chicago, IL 60611-5885. Use does not grant the Federal Government
a direct license to use CPT based on FAR 52.227-14 (Data Rights – General)
and DFARS 252.227-7015 (Technical Data Commercial Items).

This file may not be sold, duplicated, or given
away in whole or in part without the express written
consent of the American Medical Association.

To license additional CPT® products or to request a license
for the distribution of products with CPT® content, visit our website at
https://www.ama-assn.org/practice-management/cpt/ama-cpt-licensing-overview,
or purchase other CPT® products, contact customer service at 800-621-8335.

For the most current CPT® coding information, to learn about the early release
of CPT® codes, and to review the CPT® Errata to bring yourself up to date on corrections,
please visit https://www.ama-assn.org/practice-management/errata-technical-corrections.

Concept Id	CPT Code	Long	Medium	Short	Consumer	Spanish Consumer	Current Descriptor Effective Date	Test Name	Lab Name	Manufacturer Name
1003040	01482	Anesthesia for open procedures on bones of lower leg, ankle, and foot; radical resection (including below knee amputation)	ANES RADICAL RESECJ INCL BELOW KNEE AMPUTATION	ANESTH RADICAL LEG SURGERY	Anesthesia for open amputation below the knee	Anestesia para amputación abierta abajo de la rodilla				
1003041	01484	Anesthesia for open procedures on bones of lower leg, ankle, and foot; osteotomy or osteoplasty of tibia and/or fibula	ANES OPEN OSTEOTOMY/OSTEOPLASTY TIBIA&/FIBULA	ANESTH LOWER LEG REVISION	Anesthesia for open reconstruction of lower leg, ankle, and/or foot bone	Anestesia para reconstrucción abierta de un hueso de la parte inferior de la pierna, del tobillo y/o del pie				
1003042	01486	Anesthesia for open procedures on bones of lower leg, ankle, and foot; total ankle replacement	ANESTHESIA OPEN TOTAL ANKLE REPLACEMENT	ANESTH ANKLE REPLACEMENT	Anesthesia for open total ankle joint replacement	Anestesia para reemplazo total de la articulación del tobillo por vía abierta				
1003043	01490	Anesthesia for lower leg cast application, removal, or repair	ANES LOWER LEG CAST APPLICATION REMOVAL/REPAIR	ANESTH LOWER LEG CASTING	Anesthesia for application, removal, or repair of cast to lower leg	Anestesia para la aplicación, remoción o reparación de yeso en la parte inferior de la pierna				
1003045	01500	Anesthesia for procedures on arteries of lower leg, including bypass graft; not otherwise specified	ANESTHESIA ARTERIES LOWER LEG W/BYPASS GRAFT NOS	ANESTH LEG ARTERIES SURG	Anesthesia for other procedure on artery of lower leg	Anestesia para otro procedimiento en la arteria de la parte inferior de la pierna				
1003046	01502	Anesthesia for procedures on arteries of lower leg, including bypass graft; embolectomy, direct or with catheter	ANES ART LOWER LEG W/BYP GRAFT EMBLC DIR/W/CATH	ANESTH LWR LEG EMBOLECTOMY	Anesthesia for removal of blood clot in artery of lower leg	Anestesia para remoción de un coágulo de sangre en una arteria de la parte inferior de la pierna				
1003048	01520	Anesthesia for procedures on veins of lower leg; not otherwise specified	ANESTHESIA VEINS OF LOWER LEG NOS	ANESTH LOWER LEG VEIN SURG	Anesthesia for other procedure on vein of lower leg	Anestesia para otro procedimiento en la vena de la parte inferior de la pierna				
1003049	01522	Anesthesia for procedures on veins of lower leg; venous thrombectomy, direct or with catheter	ANES VEINS LOWER LEG VENOUS THRMBC DIR/W/CATH	ANESTH LOWER LEG VEIN SURG	Anesthesia for removal of obstruction in vein of lower leg	Anestesia para remover una obstrucción en una vena de la parte inferior de la pierna				
1003051	01610	Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of shoulder and axilla	ANES NRV MUSC TNDN FSCIA BURSA SHOULDER & AXILLA	ANESTH SURGERY OF SHOULDER	Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of shoulder and underarm	Anestesia para intervención en nervios, músculos, tendones, fascia y bursas del hombro y la axila				
1003052	01620	Anesthesia for all closed procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint	ANES CLOSED HUMRL H/N STRNCLAV JOINT& SHO JOINT	ANESTH SHOULDER PROCEDURE	Anesthesia for closed procedure on top of arm bone and shoulder joint	Anestesia para intervención cerrada en la parte superior del hueso del brazo y la articulación del hombro				
1003053	01622	Anesthesia for diagnostic arthroscopic procedures of shoulder joint	ANES DIAG ARTHROSCOPIC SHOULDER JOINT PROC NOS	ANES DX SHOULDER ARTHROSCOPY	Anesthesia for exam of shoulder joint using an endoscope	Anestesia para examen de la articulación del hombro usando un endoscopio				
1003055	01630	Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; not otherwise specified	ANES ARTHRS HUMERAL H/N STRNCLAV & SHOULDER NOS	ANESTH SURGERY OF SHOULDER	Anesthesia for other procedure on top of arm bone and shoulder joint	Anestesia para otro procedimiento en la parte superior del hueso del brazo y la articulación del hombro				
1003057	01634	Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; shoulder disarticulation	ANESTHESIA ARTHROSCOPIC SHOULDER DISARTICULATION	ANESTH SHOULDER JOINT AMPUT	Anesthesia for removal of arm at shoulder joint	Anestesia para remoción del brazo en la articulación del hombro				
1003058	01636	Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; interthoracoscapular (forequarter) amputation	ANES ARTHRS INTERTHORACOSCAPULAR AMPUTATION	ANESTH FOREQUARTER AMPUT	Anesthesia for open or endoscopic amputation of arm, shoulder blade, and collar bone	Anestesia para amputación abierta o endoscópica de brazo, omóplato y clavícula				
1003059	01638	Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; total shoulder replacement	ANES ARTHROSCOPIC TOTAL SHOULDER REPLACEMENT	ANESTH SHOULDER REPLACEMENT	Anesthesia for open or endoscopic total shoulder joint replacement	Anestesia para reemplazo total de la articulación del hombro por vía abierta o endoscópica				
1003061	01650	Anesthesia for procedures on arteries of shoulder and axilla; not otherwise specified	ANESTHESIA ARTERIES SHOULDER & AXILLA NOS	ANESTH SHOULDER ARTERY SURG	Anesthesia for other procedure on arteries of shoulder and underarm	Anestesia para otros procedimientos en arterias del hombro y la axila				
1003062	01652	Anesthesia for procedures on arteries of shoulder and axilla; axillary-brachial aneurysm	ANESTHESIA AXILLARY-BRACHIAL ANEURYSM	ANESTH SHOULDER VESSEL SURG	Anesthesia for repair of bulging artery of shoulder and underarm	Anestesia para la reparación de un abultamiento en la arteria del hombro y la axila				
1003063	01654	Anesthesia for procedures on arteries of shoulder and axilla; bypass graft	ANES ARTERIES SHOULDER & AXILLA BYPASS GRAFT	ANESTH SHOULDER VESSEL SURG	Anesthesia for bypass graft on artery of shoulder and underarm	Anestesia para injerto de bypass en arteria de hombro y axila				
1003064	01656	Anesthesia for procedures on arteries of shoulder and axilla; axillary-femoral bypass graft	ANESTHESIA AXILLARY-FEMORAL BYPASS GRAFT	ANESTH ARM-LEG VESSEL SURG	Anesthesia for bypass graft from groin artery to shoulder and underarm artery	Anestesia para injerto de bypass desde la arteria inguinal hasta la arteria del hombro y la axila				
1003065	01670	Anesthesia for all procedures on veins of shoulder and axilla	ANESTHESIA VEINS SHOULDER & AXILLA	ANESTH SHOULDER VEIN SURG	Anesthesia for procedure on veins of shoulder and underarm	Anestesia para procedimiento en venas del hombro y la axila				
1003067	01680	Anesthesia for shoulder cast application, removal or repair, not otherwise specified	ANES SHOULDER CAST APPL REMOVAL/REPAIR NOS	ANESTH SHOULDER CASTING	Anesthesia for other application, removal, or repair of cast	Anestesia para la aplicación, remoción o reparación de yeso				
1003071	01710	Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; not otherwise specified	ANES NRV MUSC TDN FSCA&BRS UPR ARM/ELBOW NOS	ANESTH ELBOW AREA SURGERY	Anesthesia for other procedures on nerves, muscles, tendons, and tissue of upper arm and elbow	Anestesia para otros procedimientos en nervios, músculos, tendones y tejidos de la parte superior del brazo y el codo				
1003072	01712	Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenotomy, elbow to shoulder, open	ANESTHESIA OPEN TENOTOMY ELBOW TO SHOULDER	ANESTH UPPR ARM TENDON SURG	Anesthesia for procedure on tendon of elbow to shoulder	Anestesia para procedimientos en el tendón del codo al hombro				
1003073	01714	Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenoplasty, elbow to shoulder	ANESTHESIA TENOPLASTY ELBOW TO SHOULDER	ANESTH UPPR ARM TENDON SURG	Anesthesia for repair of elbow to shoulder tendon	Anestesia para la reparación del tendón del codo al hombro				
1003074	01716	Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenodesis, rupture of long tendon of biceps	ANESTHESIA BICEPS TENODESIS RUPTURE LONG TENDON	ANESTH BICEPS TENDON REPAIR	Anesthesia for procedure on tendon of upper arm muscle	Anestesia para procedimiento en el tendón del músculo de la parte superior del brazo				
1003075	01730	Anesthesia for all closed procedures on humerus and elbow	ANESTHESIA CLOSED PROCEDURES HUMERUS & ELBOW	ANESTH UPPR ARM PROCEDURE	Anesthesia for closed procedure on upper arm and elbow	Anestesia para procedimiento cerrado en la parte superior del brazo y el codo				
1003076	01732	Anesthesia for diagnostic arthroscopic procedures of elbow joint	ANESTHESIA ELBOW JOINT DIAGNOSTIC ARTHROSCOPIC	ANESTH DX ELBOW ARTHROSCOPY	Anesthesia for exam of elbow joint using an endoscope	Anestesia para examen de la articulación del codo usando un endoscopio				
1003078	01740	Anesthesia for open or surgical arthroscopic procedures of the elbow; not otherwise specified	ANES OPEN/SURG ARTHROSCOPIC ELBOW PROC NOS	ANESTH UPPER ARM SURGERY	Anesthesia for other procedure on elbow	Anestesia para otra intervención en el codo				
1003079	01742	Anesthesia for open or surgical arthroscopic procedures of the elbow; osteotomy of humerus	ANESTHESIA OPEN/SURG ARTHRS OSTEOTOMY HUMERUS	ANESTH HUMERUS SURGERY	Anesthesia for incision or partial removal of upper arm bone	Anestesia para incisión o remoción parcial de hueso en la parte superior del brazo				
1003080	01744	Anesthesia for open or surgical arthroscopic procedures of the elbow; repair of nonunion or malunion of humerus	ANES OPEN/SURG ARTHRS REPRS NON/MALUNION HUMERUS	ANESTH HUMERUS REPAIR	Anesthesia for repair of nonhealed broken upper arm bone	Anestesia para reparar una fractura de hueso que no ha sanado en la parte superior del brazo				
1003081	01756	Anesthesia for open or surgical arthroscopic procedures of the elbow; radical procedures	ANESTHESIA OPEN/SURG ARTHRS RADICAL PROC ELBOW	ANESTH RADICAL HUMERUS SURG	Anesthesia for extensive procedure on elbow	Anestesia para un procedimiento extenso en el codo				
1003082	01758	Anesthesia for open or surgical arthroscopic procedures of the elbow; excision of cyst or tumor of humerus	ANESTH OPEN/SURG ARTHRS EXC CYST/TUMOR HUMERUS	ANESTH HUMERAL LESION SURG	Anesthesia for removal of cyst or growth of upper arm	Anestesia para la remoción de un quiste o crecimiento tumoral en la parte superior del brazo				
1003083	01760	Anesthesia for open or surgical arthroscopic procedures of the elbow; total elbow replacement	ANESTH OPEN/SURG ARTHRS TOTAL ELBOW REPLACEMENT	ANESTH ELBOW REPLACEMENT	Anesthesia for total elbow joint replacement	Anestesia para reemplazo total de la articulación del codo				
1003085	01770	Anesthesia for procedures on arteries of upper arm and elbow; not otherwise specified	ANESTHESIA ARTERIES UPPER ARM & ELBOW NOS	ANESTH UPPR ARM ARTERY SURG	Anesthesia for other procedure on arteries of upper arm and elbow	Anestesia para otro procedimiento en las arterias de la parte superior del brazo y el codo				
1003086	01772	Anesthesia for procedures on arteries of upper arm and elbow; embolectomy	ANESTHESIA ARTERIES UPPER ARM&ELBOW EMBOLECTOM	ANESTH UPPR ARM EMBOLECTOMY	Anesthesia for removal of blood clot from upper arm or elbow artery	Anestesia para la remoción de un coágulo de sangre de una arteria del brazo o del codo				
1003088	01780	Anesthesia for procedures on veins of upper arm and elbow; not otherwise specified	ANESTHESIA VEINS UPPER ARM & ELBOW NOS	ANESTH UPPER ARM VEIN SURG	Anesthesia for other procedure on veins of upper arm and elbow	Anestesia para otros procedimientos en venas de la parte superior del brazo y el codo				
1003089	01782	Anesthesia for procedures on veins of upper arm and elbow; phleborrhaphy	ANESTHESIA VEINS UPPER ARM & ELBOW PHLEBORRHAPHY	ANESTH UPPR ARM VEIN REPAIR	Anesthesia for suture of vein of upper arm and elbow	Anestesia para la sutura de una vena de la parte superior del brazo y del codo				
1003091	01810	Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of forearm, wrist, and hand	ANES NERVE MUSCLE TDN FASCIA&BURSA FOREARM WRIST	ANESTH LOWER ARM SURGERY	Anesthesia for procedure on nerves, muscles, tendons, and tissue of forearm, wrist, and hand	Anestesia para procedimientos en nervios, músculos, tendones y tejidos del antebrazo, la muñeca y la mano				
1003092	01820	Anesthesia for all closed procedures on radius, ulna, wrist, or hand bones	ANES RADIUS ULNA WRIST/HAND BONES CLOSED PX	ANESTH LOWER ARM PROCEDURE	Anesthesia for closed procedure on bones of forearm, wrist, or hand	Anestesia para procedimiento cerrado en huesos del antebrazo, la muñeca o la mano				
1003093	01829	Anesthesia for diagnostic arthroscopic procedures on the wrist	ANESTHESIA DIAGNOSTIC ARTHROSCOPIC PROC WRIST	ANESTH DX WRIST ARTHROSCOPY	Anesthesia for exam of wrist using an endoscope	Anestesia para examen de la muñeca usando un endoscopio				
1003095	01830	Anesthesia for open or surgical arthroscopic/endoscopic procedures on distal radius, distal ulna, wrist, or hand joints; not otherwise specified	ANES ARTHRS/ENDSCPY DSTL RADIUS ULNA/WRIST/HAND	ANESTH LOWER ARM SURGERY	Anesthesia for other procedure on forearm, wrist, or hand bones	Anestesia para otro procedimiento en los huesos del antebrazo, la muñeca o la mano				
1003096	01832	Anesthesia for open or surgical arthroscopic/endoscopic procedures on distal radius, distal ulna, wrist, or hand joints; total wrist replacement	ANESTHESIA ARTHRS/ENDOSCPIC TOTAL WRIST REPLCMT	ANESTH WRIST REPLACEMENT	Anesthesia for total wrist joint replacement	Anestesia para reemplazo total de la articulación de la muñeca				
1003098	01840	Anesthesia for procedures on arteries of forearm, wrist, and hand; not otherwise specified	ANESTHESIA ARTERIES FOREARM WRIST & HAND NOS	ANESTH LWR ARM ARTERY SURG	Anesthesia for other procedure on arteries of forearm, wrist, and hand	Anestesia para otro procedimiento en arterias del antebrazo, la muñeca y la mano				
1003099	01842	Anesthesia for procedures on arteries of forearm, wrist, and hand; embolectomy	ANES ARTERIES FOREARM WRIST & HAND EMBOLECTOMY	ANESTH LWR ARM EMBOLECTOMY	Anesthesia for removal of blood clot in artery of forearm, wrist, and hand	Anestesia para la remoción de un coágulo de sangre en una arteria del antebrazo, la muñeca y la mano				
1003100	01844	Anesthesia for vascular shunt, or shunt revision, any type (eg, dialysis)	ANESTHESIA VASCULAR SHUNT/SHUNT REVISION	ANESTH VASCULAR SHUNT SURG	Anesthesia for placement or revision of blood flow shunt	Anestesia para la colocación o revisión de una derivación del flujo sanguíneo				
1003102	01850	Anesthesia for procedures on veins of forearm, wrist, and hand; not otherwise specified	ANESTHESIA VEINS FOREARM WRIST & HAND NOS	ANESTH LOWER ARM VEIN SURG	Anesthesia for other procedure on veins of forearm, wrist, and hand	Anestesia para otros procedimientos en venas del antebrazo, la muñeca y la mano				
1003103	01852	Anesthesia for procedures on veins of forearm, wrist, and hand; phleborrhaphy	ANES VEINS FOREARM WRIST & HAND PHLEBORRHAPHY	ANESTH LWR ARM VEIN REPAIR	Anesthesia for suture of forearm, wrist, or hand vein	Anestesia para la sutura de una vena del antebrazo, la muñeca o la mano				
1003104	01860	Anesthesia for forearm, wrist, or hand cast application, removal, or repair	ANES FOREARM WRIST/HAND CAST APPL RMVL/REPAIR	ANESTH LOWER ARM CASTING	Anesthesia for application, removal, or repair cast to forearm, wrist and hand	Anestesia para la aplicación, remoción o reparación de yeso en el antebrazo, la muñeca y la mano				
1003107	01916	Anesthesia for diagnostic arteriography/venography	ANESTHESIA DIAGNOSTIC ARTERIOGRAPHY/VENOGRAPH	ANESTH DX ARTERIOGRAPHY	Anesthesia for X-ray exam of arteries and veins using contrast	Anestesia para examen con rayos X de arterias y venas con contraste				
1003108	01920	Anesthesia for cardiac catheterization including coronary angiography and ventriculography (not to include Swan-Ganz catheter)	ANES C-CATHJ W/C ANGIOGRAPHY & VENTRICULOGRAPHY	ANESTH CATHETERIZE HEART	Anesthesia for X-ray on heart vessels and chambers	Anestesia para radiografía de vasos y cavidades del corazón				
1003109	01922	Anesthesia for non-invasive imaging or radiation therapy	ANES NON-INVASIVE IMAGING/RADIATION THERAPY	ANESTH CAT OR MRI SCAN	Anesthesia for X-ray or radiation therapy	Anestesia para radiografía o radioterapia				
1003111	01924	Anesthesia for therapeutic interventional radiological procedures involving the arterial system; not otherwise specified	ANESTHESIA THER IVNTL RADIOLOGICAL ARTERIAL	ANES THER INTERVEN RAD ARTRL	Anesthesia for X-ray on arteries	Anestesia para radiografía de arterias				
1003112	01925	Anesthesia for therapeutic interventional radiological procedures involving the arterial system; carotid or coronary	ANESTHESIA CAROTID/CORONARY THER IVNTL RAD	ANES THER INTERVEN RAD CARD	Anesthesia for X-ray on artery of neck or heart	Anestesia para radiografía de una arteria del cuello o del corazón				
1003113	01926	Anesthesia for therapeutic interventional radiological procedures involving the arterial system; intracranial, intracardiac, or aortic	ANES ICRA ICAR/AORTIC THER IVNTL RAD ARTL	ANES TX INTERV RAD HRT/CRAN	Anesthesia for X-ray on artery of brain, heart, or chest	Anestesia para radiografía de una arteria del cerebro, del corazón o del tórax				
1003115	01930	Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); not otherwise specified	ANES VENOUS/LYMPHATIC NOS THER IVNTL RAD NOS	ANES THER INTERVEN RAD VEIN	Anesthesia for other X-ray on vein or lymph system	Anestesia para otras radiografías de venas o del sistema linfático				
1003116	01931	Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); intrahepatic or portal circulation (eg, transvenous intrahepatic portosystemic shunt[s] [TIPS])	ANESTHESIA INTRAHEPATIC/PORTAL THER IVNTL RAD	ANES THER INTERVEN RAD TIPS	Anesthesia for X-ray on vein of liver	Anestesia para radiografía de una vena del hígado				
1003117	01932	Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); intrathoracic or jugular	ANESTHESIA INTRATHORACIC/JUGULAR THER IVNTL RAD	ANES TX INTERV RAD TH VEIN	Anesthesia for x-ray on vein of chest or neck	Anestesia para rayos X de vena de tórax o cuello				
1003118	01933	Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); intracranial	ANES INTRACRANIAL THER IVNTL RAD VENS/LYMPHTC	ANES TX INTERV RAD CRAN VEIN	Anesthesia for x-ray on vein of brain	Anestesia para rayos X de vena del cerebro				
1036698	01937	Anesthesia for percutaneous image-guided injection, drainage or aspiration procedures on the spine or spinal cord; cervical or thoracic	ANES PERQ IMG NJX DRG/ASPIR PX SPI/SP CRV/THRC	ANES DRG/ASPIR CRV/THRC	Anesthesia for injection, drainage or aspiration procedures on spine or spinal cord of neck or upper back accessed through skin using imaging guidance	Anestesia para procedimientos de inyección, drenaje o aspiración en la columna vertebral o la médula espinal del cuello o la parte superior de la espalda a los que se accede a través de la piel, utilizando orientación por imagenología	20220101			
1036699	01938	Anesthesia for percutaneous image-guided injection, drainage or aspiration procedures on the spine or spinal cord; lumbar or sacral	ANES PERQ IMG NJX DRG/ASPIR PX SPI/SP LMBR/SAC	ANES DRG/ASPIR LMBR/SAC	Anesthesia for injection, drainage or aspiration procedures on spine or spinal cord of lower back accessed through skin using imaging guidance	Anestesia para procedimientos de inyección, drenaje o aspiración en la columna vertebral o la médula espinal de la parte inferior de la espalda a los que se accede a través de la piel, utilizando orientación por imagenología	20220101			
1036701	01939	Anesthesia for percutaneous image-guided destruction procedures by neurolytic agent on the spine or spinal cord; cervical or thoracic	ANES PERQ IMG DSTRJ PX NULYT AGT SPI/SP CRV/THRC	ANES NULYT AGT CRV/THRC	Anesthesia for nerve destruction procedures on spine or spinal cord of neck or upper back accessed through skin using imaging guidance	Anestesia para procedimientos de destrucción de nervios en la columna vertebral o la médula espinal del cuello o la parte superior de la espalda a los que se accede a través de la piel, utilizando orientación por imagenología	20220101			
1036702	01940	Anesthesia for percutaneous image-guided destruction procedures by neurolytic agent on the spine or spinal cord; lumbar or sacral	ANES PERQ IMG DSTRJ PX NULYT AGT SPI/SP LMBR/SAC	ANES NULYT AGT LMBR/SAC	Anesthesia for nerve destruction procedures on spine or spinal cord of lower back accessed through skin using imaging guidance	Anestesia para procedimientos de destrucción de nervios en la columna vertebral o la médula espinal de la parte inferior de la espalda a los que se accede a través de la piel, utilizando orientación por imagenología	20220101			
1036704	01941	Anesthesia for percutaneous image-guided neuromodulation or intravertebral procedures (eg, kyphoplasty, vertebroplasty) on the spine or spinal cord; cervical or thoracic	ANES PERQ IMG NEUROMD/NTRVRT PX SPI/SP CRV/THRC	ANES NEUROMD/NTRVRT CRV/THRC	Anesthesia for nerve modulation procedure spinal cord or repair of bone of spine of neck or upper back accessed through skin using imaging guidance	Anestesia para procedimientos de modulación nerviosa de la médula espinal o reparación ósea de la columna vertebral del cuello o la parte superior de la espalda a los que se accede a través de la piel, utilizando orientación por imagenología	20220101			
1036705	01942	Anesthesia for percutaneous image-guided neuromodulation or intravertebral procedures (eg, kyphoplasty, vertebroplasty) on the spine or spinal cord; lumbar or sacral	ANES PERQ IMG NEUROMD/NTRVRT PX SPI/SP LMBR/SAC	ANES NEUROMD/NTRVRT LMBR/SAC	Anesthesia for nerve modulation procedure spinal cord or repair of bone of spine of lower back accessed through skin using imaging guidance	Anestesia para procedimiento de modulación nerviosa de la médula espinal o reparación ósea de la columna vertebral de la parte inferior de la espalda a la que se accede a través de la piel, utilizando orientación por imagenología	20220101			
1003121	01951	Anesthesia for second- and third-degree burn excision or debridement with or without skin grafting, any site, for total body surface area (TBSA) treated during anesthesia and surgery; less than 4% total body surface area	ANES 2&3 DGR BURN EXC/DBRDMT W/WO GRFG <4% TBSA	ANES 2&3 BURN LESS 4 % TBSA	Anesthesia for treatment of second and third degree burn, less than 4% of total body surface area	Anestesia para tratamiento de quemaduras de segundo y tercer grado, menos del 4 % de la superficie corporal total				
1003122	01952	Anesthesia for second- and third-degree burn excision or debridement with or without skin grafting, any site, for total body surface area (TBSA) treated during anesthesia and surgery; between 4% and 9% of total body surface area	ANES 2&3 DGR BURN EXC/DBRDMT W/WO GRFG 4-9% TBSA	ANES 2&3 BURN 4-9% TBSA	Anesthesia for treatment of second and third degree burn, 4-9% of total body surface area	Anestesia para tratamiento de quemaduras de segundo y tercer grado, 4-9 % de la superficie corporal total				
1003123	01953	Anesthesia for second- and third-degree burn excision or debridement with or without skin grafting, any site, for total body surface area (TBSA) treated during anesthesia and surgery; each additional 9% total body surface area or part thereof (List separately in addition to code for primary procedure)	ANES 2&3 DGR BURN EXC/DBRDMT W/WO GRFG EA 9%TBSA	ANES 2&3 BURN EA ADD 9% TBSA	Anesthesia for treatment of second and third degree burn, each additional 9% of total body surface area or less	Anestesia para tratamiento de quemaduras de segundo y tercer grado, cada 9 % adicional de la superficie corporal total o menos				
1003125	01958	Anesthesia for external cephalic version procedure	ANESTHESIA EXTERNAL CEPHALIC VERSION	ANES XTRNL CEPHALIC VERSION	Anesthesia for procedure to turn the position of fetus in uterus	Anestesia para el procedimiento de cambio de posición del feto en el útero				
1003126	01960	Anesthesia for vaginal delivery only	ANESTHESIA VAGINAL DELIVERY ONLY	ANES VAGINAL DELIVERY ONLY	Anesthesia for vaginal delivery	Anestesia para parto vaginal				
1003127	01961	Anesthesia for cesarean delivery only	ANESTHESIA CESAREAN DELIVERY ONLY	ANES CESAREAN DELIVERY ONLY	Anesthesia for cesarean delivery	Anestesia para parto por cesárea				
1003128	01962	Anesthesia for urgent hysterectomy following delivery	ANES URGENT HYSTERECTOMY FOLLOWING DELIVERY	ANES URGENT HYSTERECTOMY	Anesthesia for procedure to remove uterus following delivery	Anestesia para procedimiento de extracción del útero tras el parto				
1003129	01963	Anesthesia for cesarean hysterectomy without any labor analgesia/anesthesia care	ANESTHESIA C HYST W/O ANY LABOR ANALG/ANES CARE	ANES CESAREAN HYSTERECTOMY	Anesthesia for cesarean and removal of uterus	Anestesia para cesárea y remoción del útero				
1003130	01965	Anesthesia for incomplete or missed abortion procedures	ANESTHESIA INCOMPLETE/MISSED ABORTION PROCEDURES	ANES INCOMPL/MISSED AB PX	Anesthesia for incomplete or missed abortion	Anestesia para aborto incompleto o fallido				
1003131	01966	Anesthesia for induced abortion procedures	ANESTHESIA INDUCED ABORTION PROCEDURES	ANES INDUCED ABORTION PX	Anesthesia for induced abortion	Anestesia para aborto inducido				
1003132	01967	Neuraxial labor analgesia/anesthesia for planned vaginal delivery (this includes any repeat subarachnoid needle placement and drug injection and/or any necessary replacement of an epidural catheter during labor)	NEURAXIAL LABOR ANALG/ANES PLND VAGINAL DELIVERY	NEURAXL LBR ANES VAG DLVR	Anesthesia for labor during planned vaginal delivery	Anestesia para trabajo de parto durante un parto vaginal planificado				
1003133	01968	Anesthesia for cesarean delivery following neuraxial labor analgesia/anesthesia (List separately in addition to code for primary procedure performed)	ANES C DLVR FLWG NEURAXIAL LABOR ANALG/ANES	ANES/ANALG CS DLVR NEURAXIAL	Anesthesia for cesarean delivery following labor	Anestesia para parto por cesárea después de trabajo de parto				
1003134	01969	Anesthesia for cesarean hysterectomy following neuraxial labor analgesia/anesthesia (List separately in addition to code for primary procedure performed)	ANES CESARN HYST FLWG NEURAXIAL LABOR ANALG/ANES	ANES C HYST FLWG NEURAXIAL	Anesthesia for cesarean removal of uterus following labor	Anestesia para remoción del útero por cesárea tras el parto				
1003136	01990	Physiological support for harvesting of organ(s) from brain-dead patient	PHYSIOL SUPPORT HARVEST ORGAN FROM BRAIN-DEAD PT	SUPPORT FOR ORGAN DONOR	Physiological support for harvesting of organs	Apoyo fisiológico para la recolección de órganos				
1003138	01991	Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different physician or other qualified health care professional); other than the prone position	ANES DX/THER NRV BLK/NJX OTH/THN PRONE POS	ANESTH NERVE BLOCK/INJ	Anesthesia for nerve block and injection	Anestesia para bloqueo del nervio e inyección				
1003139	01992	Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different physician or other qualified health care professional); prone position	ANES DX/THER NERVE BLOCK/INJECTION PRONE POS	ANESTH N BLOCK/INJ PRONE	Anesthesia for nerve block and injection procedure, prone position	Anestesia para procedimiento de bloqueo del nervio e inyección, posición decúbito prono				
1003141	01996	Daily hospital management of epidural or subarachnoid continuous drug administration	DAILY HOSP MGMT EDRL/SARACH CONT DRUG ADMN	HOSP MANAGE CONT DRUG ADMIN	Daily hospital management of continuous spinal drug administration	Gestión diaria en el hospital de la administración continua de fármacos por vía espinal				
1003142	01999	Unlisted anesthesia procedure(s)	UNLISTED ANESTHESIA PROCEDURE	UNLISTED ANES PROCEDURE	Other anesthesia procedure	Otros procedimientos de anestesia				
1003146	10021	Fine needle aspiration biopsy, without imaging guidance; first lesion	FINE NEEDLE ASPIRATION BX W/O IMG GDN 1ST LESION	FNA BX W/O IMG GDN 1ST LES	Fine needle aspiration biopsy, first growth	Biopsia por aspiración con aguja fina, primer crecimiento tumoral				
